"ID","condition","Random_BIC","Distinct_game_BIC","theta_transfer","lambda_transfer","Distinct_stage_BIC","theta_no_btw_tr","lambda_no_btw_tr","Bayes_distinct_no","theta_no_tr","lambda_no_tr","QL_states_BIC","QL_states_Beta","QL_states_alpha","QLS_within_Tr_BIC","QLS_within_Tr_Beta","QLS_within_Tr_alpha","STEWA_NT_2LL","STEWA_NT_BIC","STEWA_NT_Lambda","STEWA_Tr_2LL","STEWA_Tr_BIC","STEWA_Tr_Lambda","MBM_2LL","MBM2_BIC","MBM2_alpha","MBM2_beta"
"1I3kEYgqQNafdKmYAAE2","Level2",395.500423920519,382.423630203649,0.0277148786184836,48.1667543733731,391.864616128206,0.0728150998357908,13.6672393858759,390.938007283983,0.340159822279308,2.52125656945159,342.189823191695,0.352699649582957,0.274250503910954,317.974859024523,0.25758081792451,0.178958684570199,376.158990683121,381.351947534011,2.55181372491112,373.469595280803,378.662552131693,3.13393968336499,343.83119247919,354.217106180971,1.05328066233051,0.407400549683959
"JugPgNzi2NGqsHZzAABY","Level2",395.500423920519,405.886337961003,3.25830429603641e-06,0.0135602741146674,405.886337790479,4.22476020675113e-06,0.00519229212959361,405.886337774831,3.94109472937472e-06,0.00504809964622305,398.260768010137,1.86314741009876,0.819684652745256,398.205256663996,2.39660406576721,0.858940633831486,395.500423920519,400.69338077141,3.60365784119302e-16,395.132705276322,400.325662127212,0.328301690181199,389.101876394739,399.487790096519,2.33231743987217,0.437937614106341
"D-VZPAQt4z9eGk05AAEV","Level1",395.500423920519,318.059672880698,0.0201108025685271,137.597266401268,319.82000724514,0.598056787551719,3.18553481519341,316.989314464027,0.743833950436303,2.60590706249695,261.080560927874,0.331330480710322,0.853271018309094,233.969979237696,0.258069686048418,0.373604553430855,331.158019863607,336.350976714497,6.50176801538452,325.159025408526,330.351982259416,6.46131014036858,257.344894295809,267.73080799759,0.425279443840632,0.417126151465089
"J8_eW3CRDl64752AAAIw","Level2",395.500423920519,379.344143016757,0.00840457689288011,219.47143541198,375.817032498523,0.034099189683121,49.9240252262708,370.300049474039,0.0601002975411347,31.3297546393564,375.75877860976,0.459501949581926,0.331380728491676,386.307134262147,0.441072741377752,0.215687394664017,385.143270371469,390.336227222359,1.71739626142261,382.212537162863,387.405494013754,1.9174277430689,372.967804429827,383.353718131608,1.33491463960024,0.560862671210851
"bpaMxr2edUaSR-dFAAGz","Level1",395.500423920519,404.27202809963,0.228535180538036,1.10759448393159,404.727176923418,0.316870059235653,0.710395790174206,404.375349106009,0.362223453778917,0.767460118114425,393.333216452634,1.667202836869,0.999413903214968,392.458319900257,1.5735243458615,0.882166646938567,393.421166899892,398.614123750782,0.756313749000781,394.938772077107,400.131728927997,0.402355029039552,383.608138041434,393.994051743214,2.28856808160485,0.394161849183485
"HWVAqPzkj2ugA9vPAAGJ","Level2",395.500423920519,389.125676703603,0.0371452899349245,26.1865305271136,394.500039954838,0.562452207764774,1.1677795186056,394.830964927697,0.587488846485973,1.15614200701338,337.439813859064,0.108013104921056,0.121358268788798,327.666692017214,0.228093333144069,0.183201702598467,386.447003688098,391.639960538988,1.78738837301865,388.213136820458,393.406093671348,1.37356292085816,331.086875101512,341.472788803292,0.633085440319917,0.523102829936551
"Ipzb3ezDIYT0eRneAAAS","Level2",395.500423920519,369.681799763378,0.0219179977770206,76.6214863951266,379.525619536676,0.0388318540777959,38.2588809735173,382.453696692801,0.136130829610605,8.91896025930216,351.190617935174,0.832916698304094,0.981690144591341,349.71321993082,0.692390266253296,0.438408516742813,382.662273543322,387.855230394213,2.01435031845641,368.421770731678,373.614727582568,2.90480364955209,340.101536631081,350.487450332862,1.05076830257321,0.107694868885299
"PJpglw0AOw675yAdAAHP","Level1",395.500423920519,404.413551569942,0.0117480806161578,36.14097335122,404.749492094082,0.0283531872009248,12.6704185948076,405.092347759364,0.0065834423923234,53.8454705748913,404.271169964691,2.82671832171828,0.542312102267519,400.349770700417,1.91281570872321,0.495732778313777,395.410732578886,400.603689429776,0.176057628466415,395.495445759965,400.688402610855,0.0363680641893363,393.8849086158,404.270822317581,5.44208732858076,0.343890669646925
"7DzgDjXk_uRYBYj6AADN","Level1",395.500423920519,190.981955397433,0.0236062446912077,243.697030346943,154.755819296267,0.999985374818688,5.54167617650096,147.724711300834,0.999978021477388,6.38110561861981,181.41316431864,0.12314841974207,0.366037265827582,154.838795733012,0.237762587779649,0.513196343199505,225.72849635315,230.92145320404,16.0276476198869,213.794927504811,218.987884355701,24.1613771335294,180.866647996926,191.252561698707,0.340137013535808,0.262494965034064
"3h3jZyjIjjTRIL5fAABG","Level1",395.500423920519,353.69005089186,0.0225734911172647,90.7456852570467,366.378203103484,0.1396595557134,9.41044490338156,363.033951716402,0.598868494661915,2.2885479811579,316.723444082006,0.3474303659057,0.459839913901813,301.332947540152,0.118039216598962,0.0743400333947714,353.139647495876,358.332604346766,4.35465404456103,351.251485558306,356.444442409196,4.09108353506447,311.242997563741,321.628911265522,0.778208660973421,0.677266180390986
