"ID","condition","Random_BIC","Btwn_TR_BIC","Distinct_game_BIC","No_Btwn_Tr_BIC","Distinct_stage_BIC","No_Tr_BIC","Bayes_distinct_no","Naive_BIC","Bayes_same_game"
"HWVAqPzkj2ugA9vPAAGJ","Level2",395.500423920519,342.045242468854,394.339505882051,352.084503011539,397.713294940808,352.413357173908,398.422316955175,331.729286692599,399.529801844108
"Ipzb3ezDIYT0eRneAAAS","Level2",395.500423920519,326.698156160522,382.130353455723,324.983326274683,385.642843881466,327.833345518996,385.242429349155,326.968141032493,395.781743650169
"PJpglw0AOw675yAdAAHP","Level1",395.500423920519,366.695808350953,404.930585515103,368.399315062529,404.800945467394,373.43208730448,405.271347662881,356.298643302019,403.41534743196
"7DzgDjXk_uRYBYj6AADN","Level1",395.500423920519,90.9864676646143,239.510498995706,78.2173432450675,170.104733947674,80.8966043105372,166.46012324418,82.7026498345852,369.692639412778
"3h3jZyjIjjTRIL5fAABG","Level1",395.500423920519,303.219933643624,366.035722190523,304.312730796962,366.56868714428,302.120373322966,367.021214632148,290.609436739512,388.636780438591
"sIk6KD9rUGe2kTq7AABg","Level1",395.500423920519,387.235262742893,405.696408096364,381.917130600503,405.356848970919,385.208147218854,405.8863376223,393.688801918088,405.8863376223
"sJWcEQ_yv-10lmf-AAFN","Level1",395.500423920519,333.628234283416,368.818122458905,308.806350606134,371.089577436475,309.00827952175,367.715936748509,311.473606511385,394.283481356125
"e7z8X9BaODupDdzrAAHN","Level2",395.500423920519,366.473435468958,404.344208924205,376.74061065571,405.429418976751,377.135085739988,405.669962353753,373.721946558429,405.8863376223
"BjBPvEASTEAwT4IBAAFP","Level2",395.500423920519,359.759727323879,402.720116291043,357.708129141163,399.857035377159,364.357231011442,401.682643346041,356.785658459969,398.401336218153
"amDuYL1Ye5omcBj6AAAR","Level1",395.500423920519,221.03215088148,286.810186431855,206.531115848498,278.453061275018,212.231820848849,283.468195291399,224.34252086459,378.805073843694
"qVfFo-E8nx1aMQrkAAAh","Level1",395.500423920519,367.316727045376,404.578943761258,375.753581190092,405.788137196372,374.433158729836,404.955530929636,353.100990697524,401.551573496691
"eZLToe7akcCQujPtAANT","Level1",395.500423920519,378.412211677272,405.8863376223,380.648270581801,405.8863376223,381.570256388679,405.8863376223,377.372331202047,405.8863376223
"5n2YIMBTH3GYyBUvAACt","Level1",395.500423920519,349.05329408917,403.22266819156,346.354864720443,402.499453222489,344.59967709106,399.347413828696,347.61280305058,402.986332059359
"Bfty2Volxvh7TZuAAAAn","Level1",395.500423920519,210.230026801151,308.770669577354,206.507515263561,303.110572922091,212.285595086984,300.419358928974,208.564538635898,379.396753441128
"LrE6ZszEnyovbhwZAAD1","Level1",395.500423920519,287.439351959627,376.99753170717,293.928922159096,381.411690118043,299.839658396849,376.877542854335,272.883080064743,394.289005004138
"fVYQiLoEetexaO0SAABW","Level1",395.500423920519,324.657457374926,370.205065501314,316.372885032307,369.20268325705,315.08454465321,368.172146137946,314.299770647756,389.804085666471
"ma9i8ks9WP1eBPYhAAAV","Level1",395.500423920519,354.203278732541,401.508393205922,352.665802952867,402.484486375152,350.568102100126,399.697672849225,344.378454946776,401.371970751335
"kJ2thT5Z-1Qh2eWpAAHp","Level2",395.500423920519,370.692693197563,405.159642694808,373.303262415161,405.506573830449,374.359779067077,405.689246017966,371.113950073801,405.731997057812
"94-lizWrkNfoLXQuAAGx","Level2",395.500423920519,252.761076936755,336.187263913107,259.810776785436,334.124459400706,266.454983173459,332.894289021475,256.451876147102,386.558477839113
"YUCCkBUG83_JkDNGAAAI","Level2",395.500423920519,370.085314453099,405.382485883617,377.384845870096,405.8863376223,373.500374488433,405.8863376223,368.554327369305,405.8863376223
"prcG2V77ivcCj8ziAAAK","Level1",395.500423920519,231.283921160615,311.941593090434,211.557188388992,288.689354712364,220.635334416969,294.921585185272,215.018968040625,378.571644841944
"3_JxdNwHO9s_tnGvAAGL","Level2",395.500423920519,353.833097390918,385.516112953872,352.205754605677,383.065337031401,344.390423169174,380.409263901839,343.557255931709,385.822936549896
"PPuClUN70TLCCciPAADz","Level2",395.500423920519,376.499682062089,405.8863376223,381.306265855919,405.8863376223,381.571157153914,405.8863376223,373.956178674636,405.8863376223
"oxFTHoqnqWrmCV-SAABm","Level1",395.500423920519,259.94580303218,321.695788288091,244.263623585788,326.655613834504,250.623183096622,328.071670699803,245.651866547114,385.127269018792
"tf0MGgvxmqZRO_clAAEv","Level1",395.500423920519,373.918729501152,404.626612473648,373.308690583432,403.915205262642,381.524356167917,405.355387494944,372.815682424652,405.241096531965
"qxE6d7fDhRDSZ8LNAACg","Level2",395.500423920519,363.073098507401,405.8863376223,379.093160234393,405.8863376223,377.329037519739,405.8863376223,361.141930847377,402.349536096559
"z4PrcHRUF5bxfgrKAACQ","Level2",395.500423920519,362.606114495598,405.267063445773,367.620348789797,405.179245703484,362.844858995081,404.194255231209,362.968735937009,404.675502744968
"hrysprKOi0yO4R2pAACB","Level2",395.500423920519,341.009640737137,395.725113368202,356.037742318402,396.940464531792,353.191947484029,397.615598319446,344.797506727534,400.695224009623
"2o6EfY2kcZpacXG5AACi","Level1",395.500423920519,352.051254855791,399.766084712129,358.793920972923,400.65637042418,357.388711716281,400.446169346068,352.514067972125,405.447297605751
"EaYc4vC7DCwwt15aAAIF","Level1",395.500423920519,368.893333716717,400.604496728861,368.673354097786,401.370670080819,365.528507666701,400.559103334648,371.54415389361,401.195272235052
"r2nFfSPcBAarIW5SAAFp","Level1",395.500423920519,374.620402637601,405.8863376223,369.968389745229,405.8863376223,370.808388043155,405.8863376223,359.500082943402,404.310830304555
"wkSekQIWpxx9cI6DAAAK","Level2",395.500423920519,239.927526405411,338.833885228034,236.097349152284,302.965104660765,239.495363528595,312.305369353003,246.044195538877,381.30372277511
"bNrt9YPV9mSMUhWfAAB6","Level1",395.500423920519,345.707210816886,404.051231404476,350.949177791605,403.862146929283,353.754475954242,404.20772913741,345.16597092162,404.992686645124
"jsY8H-8cm_SFVtJ1AACC","Level2",395.500423920519,140.972755430721,257.482162110176,148.163390003037,257.995370357352,137.571518615768,257.755624518155,138.964669087367,374.176603864352
"YI5xBRHQEsR4UCk6AACr","Level2",395.500423920519,272.013793489441,373.550361912023,313.897901761499,370.717958693886,305.255356349992,368.341403607233,286.71672642978,392.341457439564
