"game_id","time","human_id","ai_id","prolific_id","condition","difficulty","confidence","comments","game","round","human_action","human_rt","ai_action","ai_rt","winner","ai_action_prev","human_action_prev","pred_a1_level0","pred_a2_level0","pred_a3_level0","pred_a4_level0","pred_a5_level0","pred_a1_level1","pred_a2_level1","pred_a3_level1","pred_a4_level1","pred_a5_level1","pred_a1_level2","pred_a2_level2","pred_a3_level2","pred_a4_level2","pred_a5_level2","ai_action_num","human_action_num","score","block","h_action","a_action","QLS_lik","Bayes_NT_lik","Bayes_Tr_lik"
"052a35fe-d4d9-4ace-8315-9d172b28bb7d","2018-07-17 20:47:39","38VxtUSv_h6RR5-tAAA2","x1X8V7V7JHjNMQNeAAA3","594266258b01c00001e7d5a6","Level2",75,60,"To be different each time and mix up or possibly copy my choices ","rps",27,"scissors",1102,"rock",1133.85969336667,"ai","paper","scissors",0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,3,-1,2,"S","R",0.267191961363469,0.33333333293207,0.303512632819633
"052a35fe-d4d9-4ace-8315-9d172b28bb7d","2018-07-17 20:47:39","38VxtUSv_h6RR5-tAAA2","x1X8V7V7JHjNMQNeAAA3","594266258b01c00001e7d5a6","Level2",75,60,"To be different each time and mix up or possibly copy my choices ","rps",28,"rock",1239,"scissors",1777.98648830069,"human","rock","scissors",1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3,1,1,2,"R","S",0.436026160767013,0.333333332932212,0.369185563936386
"052a35fe-d4d9-4ace-8315-9d172b28bb7d","2018-07-17 20:47:39","38VxtUSv_h6RR5-tAAA2","x1X8V7V7JHjNMQNeAAA3","594266258b01c00001e7d5a6","Level2",75,60,"To be different each time and mix up or possibly copy my choices ","rps",29,"rock",994,"paper",2388.26680184157,"ai","scissors","rock",0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,2,1,-1,2,"R","P",0.311093902942786,0.333333332932064,0.301739084061355
"052a35fe-d4d9-4ace-8315-9d172b28bb7d","2018-07-17 20:47:39","38VxtUSv_h6RR5-tAAA2","x1X8V7V7JHjNMQNeAAA3","594266258b01c00001e7d5a6","Level2",75,60,"To be different each time and mix up or possibly copy my choices ","rps",30,"scissors",1408,"rock",2722.56017228594,"ai","paper","rock",0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,3,-1,2,"S","R",0.31908711638087,0.333333452348229,0.337914818824936
"052a35fe-d4d9-4ace-8315-9d172b28bb7d","2018-07-17 20:47:39","38VxtUSv_h6RR5-tAAA2","x1X8V7V7JHjNMQNeAAA3","594266258b01c00001e7d5a6","Level2",75,60,"To be different each time and mix up or possibly copy my choices ","rps",31,"scissors",1153,"scissors",2823.1068936695,"tie","rock","scissors",1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3,3,0,2,"S","S",0.298315951009341,0.333333213516009,0.288461196694774
"052a35fe-d4d9-4ace-8315-9d172b28bb7d","2018-07-17 20:47:39","38VxtUSv_h6RR5-tAAA2","x1X8V7V7JHjNMQNeAAA3","594266258b01c00001e7d5a6","Level2",75,60,"To be different each time and mix up or possibly copy my choices ","rps",32,"scissors",1291,"paper",1291.22039432149,"human","scissors","scissors",0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,2,3,1,2,"S","P",0.333333333333333,0.333333332932242,0.37730889293377
"052a35fe-d4d9-4ace-8315-9d172b28bb7d","2018-07-17 20:47:39","38VxtUSv_h6RR5-tAAA2","x1X8V7V7JHjNMQNeAAA3","594266258b01c00001e7d5a6","Level2",75,60,"To be different each time and mix up or possibly copy my choices ","rps",33,"scissors",2597,"rock",1098.69627774483,"ai","paper","scissors",0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,3,-1,2,"S","R",0.267179219019897,0.333333332932053,0.298809365409305
"052a35fe-d4d9-4ace-8315-9d172b28bb7d","2018-07-17 20:47:39","38VxtUSv_h6RR5-tAAA2","x1X8V7V7JHjNMQNeAAA3","594266258b01c00001e7d5a6","Level2",75,60,"To be different each time and mix up or possibly copy my choices ","rps",34,"rock",2836,"scissors",2671.49635412034,"human","rock","scissors",1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3,1,1,2,"R","S",0.420623265495615,0.333333332932234,0.379649524144647
"052a35fe-d4d9-4ace-8315-9d172b28bb7d","2018-07-17 20:47:39","38VxtUSv_h6RR5-tAAA2","x1X8V7V7JHjNMQNeAAA3","594266258b01c00001e7d5a6","Level2",75,60,"To be different each time and mix up or possibly copy my choices ","rps",35,"rock",1129,"paper",1186.45134943956,"ai","scissors","rock",0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,2,1,-1,2,"R","P",0.267336920432351,0.333333332932046,0.297388730588725
"052a35fe-d4d9-4ace-8315-9d172b28bb7d","2018-07-17 20:47:39","38VxtUSv_h6RR5-tAAA2","x1X8V7V7JHjNMQNeAAA3","594266258b01c00001e7d5a6","Level2",75,60,"To be different each time and mix up or possibly copy my choices ","rps",36,"rock",1190,"rock",1117.11950249881,"tie","paper","rock",0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,2,"R","R",0.374942506436292,0.333333213516009,0.288167707002955
"052a35fe-d4d9-4ace-8315-9d172b28bb7d","2018-07-17 20:47:39","38VxtUSv_h6RR5-tAAA2","x1X8V7V7JHjNMQNeAAA3","594266258b01c00001e7d5a6","Level2",75,60,"To be different each time and mix up or possibly copy my choices ","rps",37,"paper",1261,"scissors",1120.07918297639,"ai","rock","rock",1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3,2,-1,2,"P","S",0.26590672275421,0.333333332932054,0.298737093151473
"052a35fe-d4d9-4ace-8315-9d172b28bb7d","2018-07-17 20:47:39","38VxtUSv_h6RR5-tAAA2","x1X8V7V7JHjNMQNeAAA3","594266258b01c00001e7d5a6","Level2",75,60,"To be different each time and mix up or possibly copy my choices ","rps",38,"scissors",1098,"paper",694.731385645503,"human","scissors","paper",0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,2,3,1,2,"S","P",0.434332888979464,0.333333332932248,0.386537376314802
"052a35fe-d4d9-4ace-8315-9d172b28bb7d","2018-07-17 20:47:39","38VxtUSv_h6RR5-tAAA2","x1X8V7V7JHjNMQNeAAA3","594266258b01c00001e7d5a6","Level2",75,60,"To be different each time and mix up or possibly copy my choices ","rps",39,"scissors",841,"rock",2257.46727490713,"ai","paper","scissors",0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,3,-1,2,"S","R",0.267178168474261,0.333333332932035,0.295040093815086
"052a35fe-d4d9-4ace-8315-9d172b28bb7d","2018-07-17 20:47:39","38VxtUSv_h6RR5-tAAA2","x1X8V7V7JHjNMQNeAAA3","594266258b01c00001e7d5a6","Level2",75,60,"To be different each time and mix up or possibly copy my choices ","rps",40,"rock",971,"scissors",1820.71829479989,"human","rock","scissors",1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3,1,1,2,"R","S",0.420627188250439,0.333333332932254,0.389059662401135
"052a35fe-d4d9-4ace-8315-9d172b28bb7d","2018-07-17 20:47:39","38VxtUSv_h6RR5-tAAA2","x1X8V7V7JHjNMQNeAAA3","594266258b01c00001e7d5a6","Level2",75,60,"To be different each time and mix up or possibly copy my choices ","rps",41,"rock",924,"paper",1863.13792702283,"ai","scissors","rock",0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,2,1,-1,2,"R","P",0.263908684797631,0.33333333293203,0.293939084721125
"052a35fe-d4d9-4ace-8315-9d172b28bb7d","2018-07-17 20:47:39","38VxtUSv_h6RR5-tAAA2","x1X8V7V7JHjNMQNeAAA3","594266258b01c00001e7d5a6","Level2",75,60,"To be different each time and mix up or possibly copy my choices ","rps",42,"scissors",1180,"scissors",2506.58559140541,"tie","paper","rock",0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,3,3,0,2,"S","S",0.294315839306069,0.333333452348187,0.319514498667199
"052a35fe-d4d9-4ace-8315-9d172b28bb7d","2018-07-17 20:47:39","38VxtUSv_h6RR5-tAAA2","x1X8V7V7JHjNMQNeAAA3","594266258b01c00001e7d5a6","Level2",75,60,"To be different each time and mix up or possibly copy my choices ","rps",43,"scissors",1045,"paper",2305.36598703302,"human","scissors","scissors",0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,2,3,1,2,"S","P",0.414650403091171,0.333333332932276,0.391716006578546
"052a35fe-d4d9-4ace-8315-9d172b28bb7d","2018-07-17 20:47:39","38VxtUSv_h6RR5-tAAA2","x1X8V7V7JHjNMQNeAAA3","594266258b01c00001e7d5a6","Level2",75,60,"To be different each time and mix up or possibly copy my choices ","rps",44,"paper",1254,"rock",951.378778860732,"human","paper","scissors",0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,2,1,2,"P","R",0.429597168440519,0.333333452348424,0.420306427833829
