"ID","condition","Random_BIC","Bayes_Tr_BIC","Bayes_No_Tr_BIC","theta_transfer","lambda_transfer","theta_no_transfer","lambda_no_transfer","QL_BIC","QL_Beta","QL_alpha","QL_states_BIC","QL_states_Beta","QL_states_alpha","EWA_BIC","EWA_2LL","EWA_Phi","EWA_Delta","EWA_Rho","EWA_Lambda","ST_EWA_STATES_BIC","ST_EWA_STATES_Lambda"
"O5H_fl6X-WZWz26DAABu","Level2",380.666248977032,390.484830576003,390.468950400442,0.00015941992884584,998.079090995787,0.000322442505291096,543.572493873964,390.687519565225,6.85971273758901,0,389.599551161412,4.91328029639187,0.998911571179312,397.32457955072,377.282038374335,0.0100000049447093,0.999999999996522,0.796300686562244,0.860722571088524,385.676884271128,3.86343966285051e-16
"2NHwNgPzjWxDBriwAAAU","Level2",380.666248977032,390.687527784409,390.68752095178,3.41475230247847e-08,60.4688088394352,5.24356847989082e-09,62.5039328177072,362.720467764588,1.36822562100577,0.99,371.588372244126,0.021229218989596,0.00766987041689743,383.988504569677,363.945963393292,0.20594044753504,0.0100000000018467,0.969095222760439,9.99999999991044,385.676884271128,6.09129420832626e-16
"2ZmOL0OjH5Uwt3DCAACm","Level1",380.666248977032,389.063228290595,390.687524175493,0.0169297123053568,21.5993787917802,3.88097584687898e-08,80.9892053477003,390.687519565225,7.9059216948517,0,382.104812994802,1.80272386464446,0.884305303353369,400.075128525772,380.032587349387,1.14566470639787,0.999999964905202,0.95259847654152,0.0100001185317248,383.068407342651,0.479818920153893
"7uLGzocWjI2W7oj0AAAq","Level1",380.666248977032,302.4008975632,292.051977015929,0.011696149054173,210.336119628629,0.0381161791128181,66.4423762128455,390.687519565225,4.88829585710937,0,277.754086748378,0.323376018258933,0.373952931944353,400.499144646413,380.456603470028,1.14615181586171,0.0100201040521186,0.999724650037364,0.0100000197156537,289.018586026264,2.92452219520104
"2rceYs3ijHQUGaHWAAAE","Level1",380.666248977032,237.344069572531,237.116917580727,0.00707289299232606,573.699910300692,0.0213224014423095,168.854591727547,390.687519565225,8.44036133420425,0,215.958830322997,0.346963643846241,0.501722598180725,400.720625014867,380.678083838482,1.03814213941044,0.999979298363697,0.999998124068156,0.0100004091776654,242.62738730753,3.81075086095483
"nwR4WarcStlliwI7AAA-","Level2",380.666248977032,379.761081296025,379.193645630543,0.00627348281608219,151.93465382423,0.0142315587659671,71.3776904712673,388.298151523408,3.59762867651804,0.751314078094532,366.678302074537,1.08446027341342,0.765327620159875,397.710612465315,377.66807128893,1.06750092251139,0.763387226291899,0.999999999965557,1.39865496387863,385.676884271128,4.99338044146696e-16
"2H3e6jXSDoRUUpIeAAAG","Level2",380.666248977032,390.687580745681,390.687527838176,6.82153927862287e-08,52.0122522097266,1.85155239102619e-09,50.3885784857686,390.687519565225,7.72002976406811,0,366.281022760189,0.909697714194228,0.470623061138111,400.735639401761,380.693098225376,0.0100000112673591,0.0100000134378638,0.999999999862489,0.0100000000234995,380.557093843029,0.660061874601347
"NdP4BC2S2NeOQ4WqAABa","Level2",380.666248977032,292.845839409,295.226959294254,0.00323770171788375,998.385775042351,0.103244605933371,17.777495972486,382.427871671088,0.0379579614101961,0.00379579614101962,215.413148818842,0.163393662479134,0.242644064705838,374.908148311088,354.865607134703,1.058428170078,0.0100004495448906,0.0520944997468562,0.121661559919536,289.403535891268,2.78709536326706
"8z6u62nisLvOgfsbAACC","Level1",380.666248977032,356.658571722139,353.55036754799,0.0669659436849082,16.5931011290533,0.0741885238917707,16.98707284744,390.687519565225,4.57719581052152,0,321.607736347452,0.427683750224069,0.373024245630758,400.708577596302,380.666036419917,0.664495262643824,0.999999999943056,0.999999999993749,0.0131233036244911,341.144182509373,1.83790919511723
"PC0tz873AYJDuBl-AABk","Level1",380.666248977032,264.569958497285,239.789788813099,0.00420887427558286,932.482502348778,0.0279762226221392,118.029880803283,390.687519565225,7.89926949590355,0,183.074797075172,0.262202972891884,0.424987362335479,400.716669049704,380.674127873319,0.0100000006189851,0.9999999998692,0.482022619112088,0.0100000003690545,219.530347487273,3.89696321696906
"tiYbLbPVLMnsq9hUAAAC","Level1",380.666248977032,287.488658125781,290.45133015269,0.0792739626611432,24.8688482107325,0.120020494417217,17.1506637508408,390.687519565225,5.13160906614963,0,272.350149003197,0.378483350426741,0.446189618543151,397.087780908086,377.045239731701,0.0100000003975605,0.99999999952612,0.791952283615204,0.875669737125328,315.724670844555,2.31232897542972
"EHmRs5tGqI6y_ZBYAAAM","Level2",380.666248977032,349.835883215137,353.384230297673,0.00490575108407319,389.207733831626,0.00981270338522018,199.570551758572,390.687519565225,4.66482050466738,0,316.609077202973,0.0941375803383062,0.078070099218465,398.155077600859,378.112536424474,1.09672961699905,0.0102315042405166,0.681964152606098,0.0194798316342517,361.544504677528,1.29156896397693
