"ID","condition","Random_BIC","Bayes_Tr_BIC","Bayes_No_Tr_BIC","theta_transfer","theta_no_transfer","QL_BIC","QL_Beta","QL_alpha","QL_states_BIC","QL_states_Beta","QL_states_alpha","EWA_BIC","EWA_2LL","EWA_Phi","EWA_Delta","EWA_Rho","EWA_Lambda","EWA_self_2LL","EWA_self_BIC","EWA_self_Lambda","EWA_states_BIC","EWA_states_Lambda"
"IFLGp4SWYD1rUTXOAAAW","Level1",380.666248977032,339.555938362709,309.706101590707,0.391779788607358,0.506115275445892,390.687519565225,5.36412670720185,0,274.584936949543,0.289552431293136,0.240509835291749,400.711893827195,380.66935265081,0.0100000142394878,0.999999997475226,0.999999999644856,0.010000000965419,380.666248977032,385.676884271128,2.84769339698531e-16,312.671407116325,2.21623077397804
"G1UYl_ZdFvPn_auuAAA0","Level1",380.666248977032,341.56775619103,283.786940887341,0.378565715326538,0.556485274752581,390.687519565225,4.86638306989083,0,249.494296895835,0.133414643101193,0.112976348581347,400.026828558719,379.984287382333,1.16005231080718,0.99998923266857,0.999999531895512,0.0100001573396632,380.666248977032,385.676884271128,3.83168655248874e-16,271.106357919179,3.01261449989258
"cpNjZm4TSPEFe4-IAABs","Level1",380.666248977032,361.595658212541,366.837252060659,0.253589802740737,0.242472918319778,390.471942425326,0.00276263847947406,6.93738049840075e-05,370.216764188712,0.800477692298666,0.409665713053661,399.626733112436,379.584191936051,1.10882461288587,0.0100011694085843,0.999966473016942,0.0924117703463646,380.666248977032,385.676884271128,4.54448075461669e-16,383.22198171318,0.406257019211934
"wsI-VTgA8Q7jaUGqAAAQ","Level1",380.666248977032,335.718400870479,334.017872972174,0.401563304878553,0.413766662853838,390.687519565225,5.51836910912106,0,305.612960016421,0.0866663465838158,0.0468069269830835,400.39229132342,380.349750147035,1.00473801892482,0.99999999996313,0.999999999996554,0.427156402893918,380.666248977032,385.676884271128,8.65693391110245e-16,309.109367175974,2.39001721792996
"2Icz3DkcGwi230swAABw","Level2",380.666248977032,382.994274434159,382.705464391723,0.0797518255038495,0.0869029486677427,390.516045451426,0.00266672681465715,5.85541184515455e-05,388.399391626648,4.01511734774611,0.995958528371528,400.642382746942,380.599841570557,1.06374850816662,0.727834760195724,0.962869147860559,0.199840153688761,380.355364216349,385.365999510445,0.277864712169284,381.208123595709,0.621306488801024
"0n-ueZ_Y59EpoZdSAAAe","Level1",380.666248977032,308.101690061221,241.625445866486,0.499854848133856,0.674817676558257,390.687519565225,6.31205077189158,0,168.771711878281,0.179577575566809,0.310974268091314,399.476670493913,379.434129317528,0.010000000074399,0.999999999941842,0.999999999308509,1.08405140492452,380.666248977032,385.676884271128,5.48951277233317e-16,199.41750719442,3.80609992685349
"DuD-LPjDw4N2S-63AAB6","Level1",380.666248977032,269.926816873397,274.373866595839,0.611152777356315,0.61126813344225,390.687519565225,6.08782840302044,0,263.765577149401,0.219791354641485,0.162782673060382,400.468910988913,380.426369812528,1.15860062882089,0.999850865039614,0.999998949866695,0.010000525102653,380.666248977032,385.676884271128,1.70854836293021e-16,273.954418060271,3.06461837855912
"rZNY1f0WR1tWMQF4AABm","Level2",380.666248977032,378.407906147231,377.903793679793,0.159284830232096,0.159886035840973,390.687519565225,5.17741124755366,0,330.718056425212,0.601607597465979,0.417644575397849,400.6104317,380.567890523615,1.18296724891859,0.0101773645392771,0.99999985578526,0.0100000226110003,380.666248977032,385.676884271128,2.13052114526629e-16,371.718183150859,1.09917428218169
"FXzVIP95gQOHYZ25AAAw","Level1",380.666248977032,232.182875570512,229.784781248705,0.69678261608721,0.705692657937568,390.644463622367,3.28385887473145,0.037300309386502,168.905601434379,0.0490143365974131,0.0536413085115681,397.505466460865,377.46292528448,0.0100000000541787,0.999999999780306,0.999999999690667,1.78899182135938,380.666248977032,385.676884271128,3.06287161432849e-16,207.349257170892,3.70913963158956
"OKTUZhRu5vEV8REOAABU","Level2",380.666248977032,151.684969164006,147.648331395937,0.836079894870709,0.845009615138966,390.687519565225,7.79516022862002,0,111.345787069411,0.145170308066182,0.428850683921549,400.709854812661,380.667313636276,1.11440067531969,0.999999937046115,0.999999997803621,0.0100000019196143,380.666248977032,385.676884271128,2.83181243218467e-16,99.4414873129968,8.85582547177248
